 ;;Record No.;Descripcion Articulo;UM;Fabricante;Cod. IVA;Impuesto IVA;Clase;Categoria;Control de Lote;Costeable;En Stock;Acuerdo;Status;Elaborado por;Fecha de creacion
;false;Z419111-0104;Sub. Acondicionamiento zonas verdes;M2;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;SERV_CONSTRUCCION;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/10/2019 02:54 PM
;false;Z419111-0103;Sub. e instalacion tuberia pvc 2 D=3 pulg;ML;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;SERV_CONSTRUCCION;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/10/2019 02:54 PM
;false;Z419111-0102;Sub. Construccion de jarillon;M3;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;SERV_CONSTRUCCION;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/10/2019 02:54 PM
;false;Z419111-0101;Sub. Canaleta en concreto;ML;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;SERV_CONSTRUCCION;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/10/2019 02:54 PM
;false;Z419111-0100;Sub. Nucleos de concreto;UN;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;SERV_CONSTRUCCION;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/10/2019 02:54 PM
;false;Z419111-0099;Sub. Realse cajas de inspeccion;UN;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;SERV_CONSTRUCCION;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/10/2019 02:54 PM
;false;Z419111-0098;Sub. Bolardo en hierro tipo M-62;UN;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;SERV_CONSTRUCCION;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/10/2019 02:54 PM
;false;Z419111-0097;Sub. Camara tipo CB;UN;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;SERV_CONSTRUCCION;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/10/2019 02:54 PM
;false;Z419111-0096;Sub. Canalizacion 3 ductos 4 pulg PVC;ML;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;SERV_CONSTRUCCION;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/10/2019 02:54 PM
;false;Z419111-0095;Sub. Filtro Longitudinal para vias;ML;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;SERV_CONSTRUCCION;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/10/2019 02:54 PM
;false;Z419111-0094;Sub. Señalizacion Horizontal;GLB;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;SERV_CONSTRUCCION;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/10/2019 02:54 PM
;false;Z419111-0093;Sub. Canalizacion 1D=3 Pulg;ML;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;SERV_CONSTRUCCION;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/10/2019 02:54 PM
;false;Z419111-0092;Sub. Demolicion En Asfalto Y/O Concreto E=10 Cm.;M2;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;SERV_CONSTRUCCION;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/10/2019 02:54 PM
;false;Z419111-0091;Terminadora De Asfalto;HR;;CO_IVA_0%;0;SERVICIOS;SERV_ALQUILER_EQUIP_CONST;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/10/2019 02:54 PM
;false;Z419111-0090;Sub. Traslado De Tuberia Existente;GLB;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;SERV_CONSTRUCCION;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/10/2019 02:54 PM
;false;Z419111-0089;Sub. y Aplicacion Con Equipo Demarcacion Linea Continua A=0.12M;ML;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;SERV_CONSTRUCCION;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/10/2019 02:54 PM
;false;Z419111-0088;Sub. Via De Acceso;M2;;CO_IVA_SER_TARIFA_GRAL;19;SERVICIOS;SERV_CONSTRUCCION;SIN CONTROL;SI;NO;NO;Activo;Cloud coadmin;12/10/2019 02:54 PM
